HORAS;%;FUNCIONÁRIO;PROJETO;GESTOR
41;36,7;ANDERSON ALVES;SUBSISTEMA 001 - RADAR 002;Fernanda
50,8;45,5;ANDERSON ALVES;RADAR 001 - EXC;Fernanda
19,8;17,7;ANDERSON ALVES;EEP - APOIO TÉCNICO;Fernanda
43,4;30,8;TENÓRIO DE LIMA;PD - SUPORTE TÉCNICO - RADAR 001;Fernanda
88,6;62,9;TENÓRIO DE LIMA;SUBSISTEMA 002 - RADAR 002;Fernanda
8,8;6,3;TENÓRIO DE LIMA;TESTE AVIÃO 001;Fernanda
75,4;92,6;DOMINGOS GOMES;RADAR 002;Fernanda
6;7,4;DOMINGOS GOMES;EEP - APOIO TÉCNICO;Fernanda
52,8;45,7;LEANDRO LEÃO;PD - SUPORTE TÉCNICO - GERAL;Fernanda
27,6;23,9;LEANDRO LEÃO;PD - SUPORTE TÉCNICO - RADAR 001;Fernanda
35,2;30,4;LEANDRO LEÃO;EEP - GERAL;Fernanda
63,4;62,1;MARIA DAS FLORES;EEP GESTÃO - QUALIDADE;Fernanda
10;9,8;MARIA DAS FLORES;RADAR 001 - GESTÃO;Fernanda
8,8;8,6;MARIA DAS FLORES;EEP - GERAL;Fernanda
14,8;14,5;MARIA DAS FLORES;RADAR 001 - EXC;Fernanda
2;2;MARIA DAS FLORES;EEP - GESTÃO GERAL;Fernanda
3;2,9;MARIA DAS FLORES;AUXÍLIO 002 - VALIDAÇÃO;Fernanda
